value,5-card,6-card,7-card,8-card,hand,rank
1576,4,156,2964,35816,"['9', '7', '4', '3', '2']",F
1577,4,156,2964,35816,"['9', '6', '5', '4', '3']",F
1578,4,156,2964,35816,"['9', '6', '5', '4', '2']",F
1579,4,156,2964,35816,"['9', '6', '5', '3', '2']",F
1580,4,156,2964,35816,"['9', '6', '4', '3', '2']",F
1581,4,156,2964,35816,"['9', '5', '4', '3', '2']",F
1582,4,160,3120,38780,"['8', '7', '6', '5', '3']",F
1583,4,156,2964,35816,"['8', '7', '6', '5', '2']",F
1584,4,160,3120,38780,"['8', '7', '6', '4', '3']",F
1585,4,156,2964,35816,"['8', '7', '6', '4', '2']",F
1586,4,156,2964,35816,"['8', '7', '6', '3', '2']",F
1587,4,160,3120,38780,"['8', '7', '5', '4', '3']",F
1588,4,156,2964,35816,"['8', '7', '5', '4', '2']",F
1589,4,156,2964,35816,"['8', '7', '5', '3', '2']",F
1590,4,156,2964,35816,"['8', '7', '4', '3', '2']",F
1591,4,156,2964,35816,"['8', '6', '5', '4', '3']",F
1592,4,156,2964,35816,"['8', '6', '5', '4', '2']",F
1593,4,156,2964,35816,"['8', '6', '5', '3', '2']",F
1594,4,156,2964,35816,"['8', '6', '4', '3', '2']",F
1595,4,156,2964,35816,"['8', '5', '4', '3', '2']",F
1596,4,156,2964,35816,"['7', '6', '5', '4', '2']",F
1597,4,156,2964,35816,"['7', '6', '5', '3', '2']",F
1598,4,156,2964,35816,"['7', '6', '4', '3', '2']",F
1599,4,156,2964,35816,"['7', '5', '4', '3', '2']",F
1600,1020,39780,747980,8941080,"['A', 'K', 'Q', 'J', 'T']",S
1601,1020,35760,603560,6459060,"['K', 'Q', 'J', 'T', '9']",S
1602,1020,35760,603560,6459060,"['Q', 'J', 'T', '9', '8']",S
1603,1020,35760,603560,6459060,"['J', 'T', '9', '8', '7']",S
1604,1020,35760,603560,6459060,"['T', '9', '8', '7', '6']",S
1605,1020,35760,603560,6459060,"['9', '8', '7', '6', '5']",S
1606,1020,35760,603560,6459060,"['8', '7', '6', '5', '4']",S
1607,1020,35760,603560,6459060,"['7', '6', '5', '4', '3']",S
1608,1020,35760,603560,6459060,"['6', '5', '4', '3', '2']",S
1609,1020,35760,603560,6459060,"['5', '4', '3', '2', 'A']",S
1610,64,2560,44528,436800,"['A', 'A', 'A', 'K', 'Q']",3K
1611,64,2304,36432,327600,"['A', 'A', 'A', 'K', 'J']",3K
1612,64,2048,28336,218400,"['A', 'A', 'A', 'K', 'T']",3K
1613,64,1792,21252,136500,"['A', 'A', 'A', 'K', '9']",3K
1614,64,1536,15180,78000,"['A', 'A', 'A', 'K', '8']",3K
1615,64,1280,10120,39000,"['A', 'A', 'A', 'K', '7']",3K
1616,64,1024,6072,15600,"['A', 'A', 'A', 'K', '6']",3K
1617,64,768,3036,0,"['A', 'A', 'A', 'K', '5']",3K
1618,64,512,1012,0,"['A', 'A', 'A', 'K', '4']",3K
1619,64,256,0,0,"['A', 'A', 'A', 'K', '3']",3K
1620,64,0,0,0,"['A', 'A', 'A', 'K', '2']",3K
